relation,count,distinct_heads,distinct_tails,distinct_pairs,specificity
HAS_ENTITY,102333,32791,39355,100590,1.02
includes,5781,5028,5242,5748,1.01
thuộc,5032,3231,2376,4209,1.2
defines,4646,4457,4553,4641,1.0
enables,4554,4330,4358,4539,1.0
bao gồm,3098,1165,2538,2967,1.04
có,2374,1180,1892,2223,1.07
liên quan đến,2367,1532,1731,2249,1.05
là,2130,1455,1484,1871,1.14
requires,2034,1952,1925,2028,1.0
applies to,1848,1818,1667,1845,1.0
because,1645,1593,1608,1644,1.0
before,1454,1416,1417,1444,1.01
gồm,1268,488,1100,1219,1.04
after,1232,1195,1180,1224,1.01
as a result,1013,980,1002,1012,1.0
at the same time,902,881,893,901,1.0
gắn với,879,668,702,832,1.06
restricts,864,829,830,860,1.0
dành cho,835,490,417,702,1.19
áp dụng cho,802,501,438,703,1.14
tham gia,701,426,518,676,1.04
tổ chức,602,225,490,551,1.09
diễn ra tại,585,413,277,499,1.17
thực hiện,492,277,428,473,1.04
thông báo,489,122,386,422,1.16
yêu cầu,459,297,415,447,1.03
diễn ra vào,427,343,310,387,1.1
tập trung vào,423,224,321,370,1.14
diễn ra,407,333,334,398,1.02
part of,403,401,260,403,1.0
hỗ trợ,396,281,330,378,1.05
liên quan,377,277,329,375,1.01
do,373,300,234,345,1.08
phục vụ,367,253,298,349,1.05
thuộc lĩnh vực,340,131,157,219,1.55
thuộc về,338,261,272,324,1.04
ban hành,337,104,268,307,1.1
hướng tới,337,227,244,309,1.09
cung cấp,335,232,288,330,1.02
diễn ra trong,320,224,191,270,1.19
nhận,308,184,210,284,1.08
nhằm đảm bảo,306,24,24,82,3.73
tham dự,301,226,178,294,1.02
đạt,266,201,189,257,1.04
tại,266,203,187,247,1.08
liên quan tới,257,214,237,257,1.0
dựa trên,239,179,212,237,1.01
hướng đến,225,142,152,200,1.12
sinh ngày,208,185,170,185,1.12
đến từ,201,137,148,194,1.04
đề cập,199,126,187,194,1.03
đảm bảo,198,64,74,123,1.61
được gắn với,187,159,168,184,1.02
quy định,186,118,170,178,1.04
thuộc ngành,186,121,93,177,1.05
giúp,178,138,158,170,1.05
theo,178,146,128,166,1.07
phối hợp với,174,94,137,163,1.07
hợp tác với,168,98,123,164,1.02
được tổ chức tại,167,147,102,155,1.08
đăng,163,45,85,115,1.42
giữ chức vụ,159,116,104,137,1.16
được tổ chức bởi,158,136,93,151,1.05
được đăng bởi,156,59,19,71,2.2
triển khai,154,90,144,151,1.02
phát triển,148,94,136,147,1.01
đánh giá,147,108,134,146,1.01
được,147,117,117,142,1.04
đến,146,124,132,137,1.07
đào tạo,145,73,125,134,1.08
tuyển dụng,145,75,103,124,1.17
được mô tả là,144,97,110,118,1.22
đòi hỏi,141,100,137,141,1.0
cho,139,102,103,128,1.09
chứa,135,97,128,135,1.0
được dùng để,133,125,120,132,1.01
được nêu trong,132,121,101,131,1.01
định hướng,125,79,94,110,1.14
dẫn đến,125,97,105,109,1.15
làm việc tại,125,80,95,121,1.03
tạo ra,122,106,115,121,1.01
cấp,120,74,63,96,1.25
cần,119,83,108,114,1.04
có địa chỉ,119,69,66,93,1.28
sử dụng,112,92,104,110,1.02
hướng dẫn,112,91,89,109,1.03
đáp ứng,111,86,100,108,1.03
đề nghị,111,56,85,99,1.12
có mã,110,83,106,110,1.0
đồng tác giả,109,60,76,107,1.02
cho phép,107,84,102,107,1.0
trong,107,97,94,106,1.01
học,107,56,45,84,1.27
được thực hiện bởi,105,86,89,103,1.02
thuộc năm học,104,72,16,81,1.28
giảng viên,104,74,81,94,1.11
trình bày,103,76,93,98,1.05
quy định về,102,42,73,85,1.2
đề cập đến,101,70,95,96,1.05
thúc đẩy,101,78,89,98,1.03
updates,101,101,100,101,1.0
giới thiệu,100,66,87,94,1.06
về,99,68,93,97,1.02
thông báo về,99,73,85,96,1.03
được tổ chức,99,78,80,96,1.03
trong lĩnh vực,96,28,34,54,1.78
công bố,95,61,87,92,1.03
tổ chức tại,95,79,69,92,1.03
của,94,61,57,78,1.21
thuộc khóa,94,64,57,93,1.01
phù hợp với,93,75,84,90,1.03
giới tính,93,88,2,88,1.06
áp dụng,93,73,83,93,1.0
nhằm,93,68,87,91,1.02
giảng dạy,93,75,70,89,1.04
học tại,91,77,56,90,1.01
nghiên cứu,91,52,91,91,1.0
năm,90,77,23,81,1.11
được hỗ trợ bởi,89,77,80,86,1.03
tương ứng,89,78,79,89,1.0
trao,89,55,50,81,1.1
giữ vai trò,87,58,71,79,1.1
từ,85,74,82,82,1.04
mã học phần,85,82,72,83,1.02
có chủ đề,85,54,79,81,1.05
cần có,85,33,80,82,1.04
thuộc nhóm,84,72,60,83,1.01
có sự tham dự của,83,34,74,80,1.04
ban hành ngày,83,73,66,75,1.11
có lượt xem,82,19,81,82,1.0
đăng ngày,82,20,79,82,1.0
gửi,81,42,78,81,1.0
nhấn mạnh,81,56,77,80,1.01
có sự tham gia của,81,50,73,81,1.0
được giảng bởi,81,62,62,80,1.01
công nhận,80,45,56,73,1.1
đợt,80,50,26,58,1.38
nằm trong,79,73,63,74,1.07
nộp,79,36,69,77,1.03
được ban hành ngày,78,72,68,74,1.05
khẳng định,78,55,74,78,1.0
thu hút,78,60,66,77,1.01
xây dựng,78,49,69,73,1.07
thể hiện,77,59,72,77,1.0
giành,76,49,37,63,1.21
ứng dụng trong,76,51,63,75,1.01
là học phần,76,67,66,67,1.13
phục vụ cho,75,58,63,70,1.07
có tên,75,51,52,54,1.39
được ban hành bởi,74,55,34,62,1.19
được nhận,74,64,57,74,1.0
đề xuất,74,46,64,71,1.04
được đề cập trong,74,65,57,74,1.0
nhận được,74,37,66,71,1.04
năm học,73,61,14,65,1.12
phát biểu tại,73,44,46,67,1.09
chuyên ngành,73,69,23,73,1.0
được nhắc đến trong,71,64,53,70,1.01
được thực hiện,71,52,56,68,1.04
diễn ra vào ngày,70,66,65,68,1.03
chia sẻ,70,56,66,70,1.0
tương ứng với,69,54,65,65,1.06
được yêu cầu,69,55,62,69,1.0
làm việc với,68,37,63,65,1.05
kết hợp với,67,58,64,65,1.03
ở,67,54,36,61,1.1
replaces,67,66,66,67,1.0
có ngày,66,56,65,65,1.02
ngày,66,55,55,58,1.14
trực thuộc,64,47,28,56,1.14
trở thành,64,51,57,62,1.03
đăng bài,63,15,48,53,1.19
có tên tiếng Anh,63,52,50,57,1.11
trao cho,63,28,39,51,1.24
kết nối với,63,53,59,62,1.02
diễn ra giữa,63,32,47,59,1.07
xếp hạng,61,49,54,61,1.0
liên kết với,61,55,51,61,1.0
có số lượng,61,47,44,58,1.05
xác định,61,51,55,60,1.02
kết nối,61,37,51,59,1.03
kèm theo,61,55,59,60,1.02
có số tín chỉ,61,59,18,60,1.02
có tên đề tài,61,47,56,60,1.02
thuộc chuyên ngành,61,34,30,56,1.09
phối hợp,59,44,50,57,1.04
quản lý,59,46,49,58,1.02
thông qua,59,42,53,57,1.04
có nội dung,59,48,59,59,1.0
có mục,58,36,47,55,1.05
ứng với,58,50,49,58,1.0
mong muốn,57,38,53,57,1.0
có chuyên ngành,57,19,31,47,1.21
nêu,56,46,56,56,1.0
dẫn tới,56,53,53,56,1.0
nâng cao,56,39,49,54,1.04
gồm có,56,24,56,56,1.0
thuộc lớp,56,50,41,54,1.04
có liên quan đến,55,42,51,55,1.0
ghi nhận,54,39,51,54,1.0
xuất hiện trong,53,46,42,53,1.0
có khả năng,53,24,51,53,1.0
giữa,52,39,35,51,1.02
bắt đầu từ,52,46,46,50,1.04
đăng bởi,52,20,12,28,1.86
được xét theo,52,36,42,52,1.0
bằng,51,42,46,50,1.02
dùng để,51,45,46,51,1.0
được liệt kê trong,51,50,18,51,1.0
được triển khai,51,46,44,51,1.0
được đảm bảo tại,51,8,3,14,3.64
tuyển sinh,50,28,49,50,1.0
với,50,37,48,50,1.0
được cấp,50,40,41,47,1.06
đại diện,50,47,47,50,1.0
thực hiện theo,50,42,39,49,1.02
thuộc chuyên mục,50,18,17,35,1.43
tài trợ,50,31,44,48,1.04
thuộc học phần,50,48,49,50,1.0
được ban hành vào,49,45,42,46,1.07
được áp dụng cho,49,40,46,48,1.02
được ứng dụng trong,48,33,35,46,1.04
mục tiêu,48,37,47,48,1.0
được xếp hạng,48,42,39,48,1.0
viết tắt,48,36,32,37,1.3
đặt tại,48,40,36,45,1.07
dùng cho,47,41,41,45,1.04
được dùng trong,47,38,39,46,1.02
có đại diện,46,24,40,44,1.05
phối hợp tổ chức,46,29,33,46,1.0
được thực hiện tại,46,38,34,44,1.05
được thúc đẩy bởi,46,37,38,43,1.07
thuộc mục,46,15,16,31,1.48
diễn ra từ,45,39,37,40,1.12
có hoạt động,45,27,44,45,1.0
quyết định,45,29,40,43,1.05
nằm tại,45,37,31,40,1.12
kiểm tra,45,25,34,43,1.05
cho biết,45,35,43,43,1.05
tốt nghiệp,44,38,32,40,1.1
đánh giá cao,44,32,38,44,1.0
chia sẻ về,44,36,44,44,1.0
được đề nghị,44,27,38,44,1.0
đạt giải,44,35,37,44,1.0
thời gian đào tạo,44,30,4,32,1.38
thông báo cho,44,23,30,41,1.07
phải có,44,29,44,44,1.0
đưa ra,43,36,37,39,1.1
tăng cường,43,30,40,43,1.0
được thực hiện theo,43,35,37,41,1.05
phụ thuộc vào,42,37,39,41,1.02
đóng góp cho,42,34,39,42,1.0
ứng dụng,42,33,36,42,1.0
ban hành công văn,42,19,42,42,1.0
có nội dung về,42,22,40,41,1.02
cập nhật,41,31,37,41,1.0
phụ trách,41,28,38,41,1.0
tiếp nhận,41,35,37,41,1.0
đối với,41,33,37,41,1.0
được đánh giá,41,38,36,41,1.0
gây ra,41,33,40,41,1.0
được thực hiện trong,41,40,37,41,1.0
về việc,41,35,37,39,1.05
được xem là,40,31,37,38,1.05
đi kèm,40,37,39,40,1.0
thuộc khoa,40,38,24,39,1.03
hoạt động trong,40,20,34,40,1.0
thời gian,40,38,38,40,1.0
chỉ đạo,40,22,34,38,1.05
có sinh viên,40,22,34,39,1.03
căn cứ,39,25,38,38,1.03
khuyến khích,39,32,35,36,1.08
được thành lập,39,34,34,38,1.03
diễn ra trong lĩnh vực,39,5,7,13,3.0
mã ngành,39,25,27,32,1.22
là tác giả của,38,12,23,30,1.27
thành lập,38,29,36,38,1.0
diễn ra năm,38,29,9,29,1.31
sinh tại,38,34,12,34,1.12
có chỉ tiêu,38,33,22,37,1.03
tặng,37,26,21,34,1.09
được sử dụng trong,37,27,33,37,1.0
có ngành,37,17,28,35,1.06
mang lại,37,32,35,37,1.0
tạo điều kiện cho,37,27,37,37,1.0
được đăng vào,37,16,37,37,1.0
được giảng dạy bởi,37,27,35,37,1.0
được thông báo bởi,37,35,21,37,1.0
được dùng cho,37,34,33,37,1.0
đạt được,37,26,33,36,1.03
giải quyết,37,30,37,37,1.0
được dạy bởi,37,33,35,37,1.0
chuẩn bị,37,23,35,37,1.0
diễn ra với,36,31,35,36,1.0
và,36,31,30,35,1.03
xét,36,18,30,35,1.03
vào,36,33,35,36,1.0
đăng ký,36,24,35,36,1.0
tạo cơ hội,36,28,34,36,1.0
được điều chỉnh,36,27,34,36,1.0
tiến hành,36,22,33,35,1.03
được hướng dẫn bởi,36,31,34,36,1.0
áp dụng trong,36,35,31,36,1.0
được hưởng,35,25,31,35,1.0
đi qua,35,8,35,35,1.0
đăng tải,35,21,34,35,1.0
được sử dụng để,35,32,31,35,1.0
lựa chọn,35,19,25,27,1.3
nơi sinh,35,35,17,35,1.0
địa điểm,35,32,30,35,1.0
kéo dài,35,32,30,35,1.0
liên hệ,35,23,31,35,1.0
có giá trị,35,30,29,34,1.03
được trao,35,29,30,35,1.0
môn học,35,28,23,29,1.21
được coi là,34,29,29,34,1.0
nhắm tới,34,24,29,33,1.03
nhằm nâng cao,34,25,25,34,1.0
được công bố bởi,34,33,26,34,1.0
theo mẫu,34,30,29,34,1.0
tác động đến,34,25,29,34,1.0
viết tắt của,34,28,33,33,1.03
được trao cho,34,24,31,33,1.03
được áp dụng trong,34,31,30,33,1.03
thuộc hệ,34,8,10,14,2.43
cấp cho,34,28,27,34,1.0
có hướng nghiên cứu,34,11,34,34,1.0
diễn ra ngày,33,33,30,33,1.0
địa chỉ,33,30,24,33,1.0
căn cứ theo,33,24,28,32,1.03
xử lý,33,27,30,33,1.0
vận dụng,33,20,33,33,1.0
phân tích,33,21,31,32,1.03
điều chỉnh,33,25,29,31,1.06
nộp tại,33,27,28,33,1.0
không được,33,15,23,27,1.22
có xác nhận của,33,25,14,28,1.18
được đăng ngày,32,11,31,31,1.03
đăng vào,32,11,32,32,1.0
tập trung,32,21,32,32,1.0
được công bố,32,29,30,32,1.0
làm cho,32,28,31,32,1.0
kết hợp,32,21,27,30,1.07
mã,32,28,29,29,1.1
ký kết,32,23,14,30,1.07
căn cứ vào,32,20,31,32,1.0
tìm hiểu,32,24,27,31,1.03
theo học,31,26,26,31,1.0
đại diện cho,31,30,28,31,1.0
được ban hành theo,31,19,23,23,1.35
đóng góp,31,28,24,30,1.03
là nơi,31,24,30,30,1.03
đề cập tới,31,26,31,31,1.0
được xác định theo,31,29,27,30,1.03
đăng bài về,31,7,27,30,1.03
có thể là,31,13,27,27,1.15
được trang bị,31,17,28,31,1.0
ngành,31,29,24,31,1.0
có năng lực,31,16,31,31,1.0
được xét,31,27,24,30,1.03
có mã số,31,21,19,27,1.15
quan tâm đến,31,26,27,30,1.03
được ghi nhận,31,25,31,31,1.0
có giới tính,31,30,2,30,1.03
chiếm,30,29,20,30,1.0
trên,30,29,26,30,1.0
được nêu,30,26,19,29,1.03
không được tính vào,30,10,6,24,1.25
được thực hiện trên,30,25,25,30,1.0
được cung cấp bởi,30,22,24,28,1.07
trước,30,22,30,30,1.0
ngày sinh,30,29,29,29,1.03
có kết quả,30,22,25,27,1.11
được mô tả trong,30,29,29,30,1.0
gửi đến,30,13,24,28,1.07
có email,30,24,23,27,1.11
nằm ở,30,27,18,29,1.03
liên kết,30,22,29,30,1.0
ảnh hưởng đến,30,26,25,29,1.03
là một phần của,30,30,16,30,1.0
có điều kiện,30,17,27,28,1.07
gửi tới,30,18,27,29,1.03
được đăng trên,30,27,26,30,1.0
được đảm bảo,30,16,15,30,1.0
tại khu vực,30,9,7,15,2.0
tăng,29,22,27,29,1.0
có website,29,27,28,28,1.04
được tổ chức trong,29,26,27,28,1.04
nhằm tới,29,21,22,24,1.21
được sử dụng,29,25,28,29,1.0
tham gia cùng,29,26,22,29,1.0
thể hiện qua,29,18,29,29,1.0
đạt tiêu chuẩn,29,8,11,17,1.71
chịu trách nhiệm,29,18,26,29,1.0
có tác giả,29,14,15,23,1.26
giảng,29,22,22,29,1.0
trân trọng thông báo,29,8,27,28,1.04
được nộp,29,29,24,29,1.0
được cung cấp để,29,3,6,8,3.62
chủ trì,28,23,22,28,1.0
mô tả,28,19,28,28,1.0
có ngày sinh,28,27,25,28,1.0
cho năm học,28,26,10,26,1.08
được cấp cho,28,14,23,26,1.08
có số điện thoại,28,18,22,25,1.12
không tính,28,5,20,22,1.27
gặp,28,20,26,28,1.0
phát biểu,28,24,22,28,1.0
được ưu tiên,28,16,23,28,1.0
tương đương,27,25,23,26,1.04
